Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat_max,long_max,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,Realm,REF_max,citation_details_or_paper_in_which_data_were_compiled,notes.2017,NM_1cm_airshade,NM_2m_airshade,NM_exposed_bodytemp,NM_exposed_air,NM_exposed_body_wet,NM_shade_body_wet,NMGHCND_2m_airshade,NMGHCND_exposed_Te,NMGHCND_exposed_Te_wet,NMGHCND_2m_airshade95,NMGHCND_exposed_Te95,NMGHCND_exposed_Te_wet95,NMGHCND_shade_Te_wet,NMGHCND_shade_Te_wet95
Leiolopisma,mustelinum,crit,NA,NA,,,38.6,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Moloch,horridus,crit,NA,NA,,,42.5,-30,150,,NA,Chordata,Reptilia,Squamata,Agaidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Nannoscincus,maccoyi,crit,NA,NA,,,37,-30,150,,NA,Chordata,Reptilia,Squamata,Gekkonidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Niveoscincus,metallicum,crit,NA,NA,,,40,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Niveoscincus,ocellatum,crit,NA,NA,,,40.1,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Notechis,scutatus,crit,NA,NA,,,38,-30,150,,NA,Chordata,Reptilia,Squamata,Hydrophiidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Physignathus,gilberti,crit,NA,NA,,,41.8,-30,150,,NA,Chordata,Reptilia,Squamata,Agaidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Pseudemoia,entrecasteauxii,crit,NA,NA,,,42.1,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Pseudemoia,spenceri,crit,NA,NA,,,42.3,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Pseudonaja,textilis,crit,NA,NA,,,42.4,-30,150,,NA,Chordata,Reptilia,Squamata,Hydrophiidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
