"Genus","Species","tmax_metric","tmax_acc","tmax_acc_days","tmax_acc_type","tmax_col_time_if_field_fresh","tmax","lat_max","long_max","no_NicheMapR_data","altitude","Phylum","Class","Order","Family","Realm","REF_max","citation_details_or_paper_in_which_data_were_compiled","notes.2017","NM_1cm_airshade","NM_2m_airshade","NM_exposed_bodytemp","NM_exposed_air","NM_exposed_body_wet","NM_shade_body_wet","thermy","weight","weight_source","length","notes","NMGHCND_2m_airshade95","NMGHCND_exposed_Te95","NMGHCND_exposed_Te_wet95","NMGHCND_shade_Te_wet95","NMGHCND_exposed_Tb95","NMGHCND_exposed_Tb_wet95","NMGHCND_shade_Tb_wet95","NMGHCND_2m_shade_Tb95"
"Eulamprus","kosciuskoi","crit",NA,NA,"","",40.2,-30,150,"",NA,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,"ectotherm",12.74,"Slavenko et al. 2016 database",NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,55.9251762301902,30.4193502130434,20.7009881720667,29.285965371519
"Eulamprus","quoyi","crit",NA,NA,"","",39.8,-30,150,"",NA,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,NA,NA,NA,NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,NA,NA,NA,NA
"Eumeces","elegans","crit",28,NA,"","",41.9,30.2,120.2,"",18,"Chordata","Reptilia","Squamata","Scincidae","Terrestrial","Du_2000","Sunday_et_al_PNAS_2014","",34.92457199,33.98117065,56.53158188,46.90197372,35.9804039,28.23254204,NA,NA,NA,NA,NA,30.5628112792969,48.2382213592529,30.8091445922852,27.1480253219604,NA,NA,NA,NA
"Eurycea","bislineata","crit",25,7,"","",35,39.7,-84.7,"",300,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","Layne_and_Claussen_1983b","Sunday_et_al_PRSB_2011","",29.73243713,29.20819092,55.18154144,40.11630249,40.52894974,22.61616707,"ectotherm",29,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",12.3,NA,26.4985916137695,42.9774719238281,26.949102306366,20.6696032524109,42.97696355592,26.9489004846779,20.66952177697,26.4986523001126
"Eurycea","longicauda","crit",15,NA,"","",37.6,36.11,-94.33,"",377,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","Sealander_1969","Sunday_et_al_PNAS_2014","",33.2963562,32.46484375,62.26568604,45.19805908,41.10251617,25.26865578,"ectotherm",38,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",20,NA,29.0314331054688,47.9325033187866,29.9921120643616,23.2415182113647,47.9321945755192,29.9916525202149,23.2413773662885,29.0311092370904
"Eurycea","lucifuga","crit",15,NA,"","",37.2,36.11,-94.33,"",377,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","Sealander_1969","Sunday_et_al_PNAS_2014","",33.2963562,32.46484375,62.26568604,45.19805908,41.10251617,25.26865578,"ectotherm",108.1,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",18.1,NA,29.0314331054688,47.9325033187866,29.9921120643616,23.2415182113647,47.9293960900769,29.9866596373097,23.2402203091444,29.0319525048698
"Eurycea","multiplicata","crit",15,NA,"","",37.5,36.1,-90.36,"",426.7,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","Sealander_1969","Sunday_et_al_PNAS_2014","",34.39567184,33.25683594,62.30710983,45.80857086,40.69491196,26.26759911,"ectotherm",41,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",16,NA,30.3111373901367,49.2294855117798,30.9749588012695,24.3448422431946,49.229937095425,30.9738834607129,24.3444144845446,30.3114006549135
"Eurycea","nana","crit",20,NA,"","",37.2,29.9,-98,"",190,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","Berkhouse_1995","Sunday_et_al_PNAS_2014","",36.54633331,35.57861328,64.14761353,47.47170639,40.97494125,27.38243675,"ectotherm",32,"Santini et al. 2018 doi: 10.1111/1749-4877.12268",5.1,NA,32.2572631835938,50.8227472305298,31.8592498779297,25.5112265586853,50.8229631839886,31.8594395412865,25.511321350358,32.2569050274329
"Formica","perpilosa","crit",25,NA,"","",45.2,35.65,-106.77,"",1500,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","Schumacher_1974","Sunday_et_al_PNAS_2014","",32.87584686,32.01879883,53.77226639,43.49163818,29.00490379,19.02292633,"ectotherm",0.897,"From length-weight relationship in Wardhaugh 2013 https://onlinelibrary.wiley.com/doi/pdf/10.1111/aen.12032",1.2,NA,27.72431640625,48.0623098373413,23.6410799980164,17.1556797027588,48.0623098373413,23.6410799980164,17.1556797027588,27.7243164062498
"Friesea","grisea","crit",7,90,"field_fresh","summer",35.1,-71.68333333,170,"Antarctica",0,"Arthropoda","Entognatha","Collembola","Isotomidae","Terrestrial","Sinclair_et_al._2006","Sunday_et_al_PRSB_2011","citation year has been corrected; acclimation data added; field temp data from Fig 8; Dec 10",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
