Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_interval_after_LT0,Tmax_2,max_metric_2,error,error measure,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N,tmin,min_metric,error,error_type,Multiple measures_min,min_interval_after_LT0,N,tmin_2,min_metric_2,error,error_type,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ
Ctenotus,pantherinus,,36.9,ctmax,,,N,,,,,,,,,-28.1,139.98,438,Heatwole_1976,3,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Anolis,evermanni,9,38.9,ctmax,,,N,,,,,,,30,,18.27,-65.91,594,Heatwole_et_al_1969,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,stratulus,9,41.2,ctmax,,,N,,,,,,,30,,18.4,-66.05,28,Heatwole_et_al_1969,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Tiliqua,scincoides,1,43.9,ctmax,,,N,,,,,,,,1,-14.79,142.43,74,Heatwole_et_al_1973,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Anolis,cybotes,,40.1,ctmax,0.15,SE,N,,,,,,,31.4,,18.18,-71.07,5,Hertz_&_Huey_1981,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,shrevei,,40.1,ctmax,0.12,SE,N,,,,,,,29.2,,18.8,-70.68,2200,Hertz_&_Huey_1981,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,marcanoi,,40.5,ctmax,0.18,SE,N,,,,,,,,,19.12,-70.63,500,"Hertz_&_Huey_1981, Hertz_1980",1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,krugi,10,36,ctmax,2,SE,N,,,,,,,25,1,18.4,-66.05,200,Hertz_1979,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,pulchellus,10,36.1,ctmax,0.1,SE,N,,,,,,,25,1,18.37,-65.72,1,Hertz_1979,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,semilineatus,10,39.6,ctmax,0.2,SE,N,,,,,,,25,1,18.45,-69.66,16,Hertz_1979,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,roquet,7,35.9,ctmax,0.2,SE,N,,,,,,,25,1,14.64,-61.02,350,Hertz_1981,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Laudakia,stellio,8,45,ctmax,0.3,SE,N,,,,,,,,,33.18,35.74,938,Hertz_et_al_1983,1,15,12.5,ctmin,0.3,SE,N,,,,,,,,,,33.18,35.74,938,Hertz_et_al_1983,1,Chordata,Lepidosauria,Squamata,Agamidae,
Trapelus,savignii,8,47.2,ctmax,0.2,SE,N,,,,,,,,,31.23,34.78,243,Hertz_et_al_1983,1,8,12,ctmin,0.1,SE,N,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Agamidae,
Ameiva,quadrilineata,35,45.1,ctmax,0.17,SD,N,,,,,,,F,,10.57,-83.53,27,Hirth_1963,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Teiidae,
Basiliscus,vittatus,20,43.1,ctmax,0.21,SD,N,,,,,,,F,,10.58,-83.52,0,Hirth_1963,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Takydromus,formosanus,24,43.3,ctmax,1,SE,N,,,,,,,20,0.75,25.15,121.55,0,Huang_&_Tu_2008a,1,12,5,ctmin,1,SE,N,,,,,,,,20,0.75,25.12,121.3,1500,Huang_&_Tu_2008b,1,Chordata,Lepidosauria,Squamata,Lacertidae,
Takydromus,hsuehshanensis,31,43.5,ctmax,1,SE,N,,,,,,,20,0.75,24.17,121.3,2596,Huang_&_Tu_2008a,1,12,2.5,ctmin,1,SE,N,,,,,,,,20,0.75,23.91,120.66,2000,Huang_&_Tu_2008b,1,Chordata,Lepidosauria,Squamata,Lacertidae,
Takydromus,stejnegeri,44,43.4,ctmax,1,SE,N,,,,,,,20,0.75,25.15,121.55,0,Huang_&_Tu_2008a,1,16,5.7,ctmin,1,SE,N,,,,,,,,20,0.75,25.12,121.3,1000,Huang_&_Tu_2008b,1,Chordata,Lepidosauria,Squamata,Lacertidae,
Sphenomorphus,incognitus,15,39.3,ctmax,0.2,SE,N,,,,,,,20,0.75,22.05,121.53,291,Huang_et_al_2006,1,16,12,ctmin,0.2,SE,N,,,,,,,,20,0.75,22.05,121.53,291,Huang_et_al_2006,1,Chordata,Lepidosauria,Squamata,Scincidae,
Sphenomorphus,taiwanensis,14,37.4,ctmax,0.2,SE,N,,,,,,,20,0.75,24.17,121.3,2596,Huang_et_al_2006,1,15,5.9,ctmin,0.2,SE,N,,,,,,,,20,0.75,24.17,121.3,2596,Huang_et_al_2006,1,Chordata,Lepidosauria,Squamata,Scincidae,
Protobothrops,mucrosquamatus,25,38.2,ctmax,0.3,SE,N,,,,,,,20,0.25,23.83,121.03,700,Huang_et_al_2007,2,33,5.3,ctmin,0.3,SE,N,,,,,,,,20,0.25,23.83,121.03,700,Huang_et_al_2007,2,Chordata,Lepidosauria,Squamata,Viperidae,
Trimeresurus,gracilis,28,37.7,ctmax,0.3,SE,N,,,,,,,20,0.25,23.53,120.8,2482,Huang_et_al_2007,2,41,4.7,ctmin,0.3,SE,N,,,,,,,,20,0.25,23.53,120.8,2482,Huang_et_al_2007,2,Chordata,Lepidosauria,Squamata,Viperidae,
Trimeresurus,stejnegeri,37,38,ctmax,0.3,SE,N,,,,,,,20,0.25,23.97,120.95,423,Huang_et_al_2007,2,36,6.4,ctmin,0.3,SE,N,,,,,,,,20,0.25,23.97,120.95,423,Huang_et_al_2007,2,Chordata,Lepidosauria,Squamata,Viperidae,
Anolis,gundlachi,10,35.7,ctmax,0.46,SE,N,,,,,,,20,1.75,18.29,-66.79,350,Huey_&_Webster_1976,1,,6.3,ctmin,,,N,,,,,,,,,,18.2,-66.14,,Huey_unpubl_data_in_Huey_et_al_2012,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Coleonyx,brevis,2,41.6,ctmax,,,N,,,,,,,,,29.18,-102.96,1671,Huey_et_al_1989a,1,2,8.5,ctmin,,,N,,,,,,,,,,29.18,-102.96,1671,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Eublepharidae,
Coleonyx,variegatus,8,43,ctmax,,,N,,,,,,,,,34.12,-115.83,393,Huey_et_al_1989a,1,8,7.6,ctmin,,,N,,,,,,,,,,34.12,-115.83,393,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Eublepharidae,
Hemidactylus,frenatus,14,42.4,ctmax,,,N,,,,,,,,,21.97,-159.72,0,Huey_et_al_1989a,1,14,11.9,ctmin,,,N,,,,,,,,,,21.97,-159.72,0,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Gekkonidae,
Hemidactylus,turcicus,9,41.1,ctmax,,,N,,,,,,,,,29.18,-102.96,1680,Huey_et_al_1989a,1,9,10.5,ctmin,,,N,,,,,,,,,,29.18,-102.96,1680,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Gekkonidae,
Lepidodactylus,lugubris,15,40.2,ctmax,,,N,,,,,,,,,21.97,-159.72,0,Huey_et_al_1989a,1,15,11.5,ctmin,,,N,,,,,,,,,,21.97,-159.72,0,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Gekkonidae,
Sphaerodactylus,gaigeae,,38.2,ctmax,,,N,,,,,,,,,18.04,-65.89,235,Huey_et_al_2009,1,,12.5,ctmin,,,N,,,,,,,,,,18.04,-65.89,235,Huey_et_al_2009,1,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Sphaerodactylus,klauberi,,36.3,ctmax,,,N,,,,,,,,,18.37,-65.72,1,Huey_et_al_2009,1,,10.4,ctmin,,,N,,,,,,,,,,18.37,-65.72,1,Huey_et_al_2009,1,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Sphaerodactylus,macrolepis,,39.4,ctmax,,,N,,,,,,,,,18.38,-67.19,20,Huey_et_al_2009,2,,11.3,ctmin,,,N,,,,,,,,,,18.38,-67.19,20,Huey_et_al_2009,2,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Sphaerodactylus,nicholsi,,39.5,ctmax,,,N,,,,,,,,,17.97,-66.91,81,Huey_et_al_2009,1,,11.4,ctmin,,,N,,,,,,,,,,17.97,-66.91,81,Huey_et_al_2009,1,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Sphaerodactylus,roosevelti,,39.3,ctmax,,,N,,,,,,,,,17.97,-66.91,81,Huey_et_al_2009,1,,10.5,ctmin,,,N,,,,,,,,,,17.97,-66.91,81,Huey_et_al_2009,1,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Sphaerodactylus,townsendi,,42.1,ctmax,,,N,,,,,,,,,18.33,-65.65,11,Huey_et_al_2009,1,,11.4,ctmin,,,N,,,,,,,,,,18.33,-65.65,11,Huey_et_al_2009,1,Chordata,Lepidosauria,Squamata,Sphaerodactylidae,
Anolis,cristatellus,,37.1,ctmax,,,,,,,,,,,,18.5,-66.14,6.5,Huey_unpubl_data_in_Huey_et_al_2012,1,,8.9,ctmin,,,N,,,,,,,,,,18.5,-66.14,5.6,Huey_1983,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,cooki,,38.8,ctmax,,,,,,,,,,,,18.1,-66.9,0,Huey_unpubl_data_in_Huey_et_al_2012,,,9.3,ctmin,,,N,,,,,,,,,,18.1,-66.9,0,Huey_unpubl_data_in_Huey_et_al_2012,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Sceloporus,merriami,,41.5,ctmax,,,,,,,,,,,,29.2,-103,,Huey_unpubl_data_in_Huey_et_al_2012,1,,14.1,ctmin,,,N,,,,,,,,,,29.2,-103,,Huey_unpubl_data_in_Huey_et_al_2012,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Phymaturus,patagonicus,14,39.9,ctmax,0.4,SE,N,,,,,,,F,,-41.13,-70.67,900,Ibarguengoytia_2005,1,15,9.8,ctmin,0.77,SE,N,,,,,,,,F,,-41.13,-70.67,900,Ibarguengoytia_2005,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Plestiodon,chinensis,19,42.3,ctmax,0.2,SE,N,,,,,,,28,0.25,30.21,120.1,140,Ji_1995,1,21,6.3,ctmin,0.1,SE,N,,,,,,,,28,0.25,30.21,120.1,140,Ji_1995,1,Chordata,Lepidosauria,Squamata,Scincidae,
Xantusia,vigilis,10,40.5,ctmax,0.2,SE,N,,,,,,,20,1,34.54,-117.29,840,Kaufmann_&_Bennett_1989,1,10,4.5,ctmin,0.4,SE,N,,,,,,,,20,1,34.54,-117.29,840,Kaufmann_&_Bennett_1989,1,Chordata,Lepidosauria,Squamata,Xantusiidae,
Platysaurus,intermedius,14,44.8,ctmax,1.08,SE,N,,,,,,,25,1,-24.58,31.18,559,Lailvaux_et_al_2003,1,14,8.8,ctmin,0.65,SE,N,,,,,,,,29,1,-24.58,31.18,559,Lailvaux_et_al_2003,1,Chordata,Lepidosauria,Squamata,Cordylidae,
Sceloporus,grammicus,48,41.8,ctmax,0.031,SE,N,,,,,,,F,,19.17,-98.6,3743,Lemos-Espinal_&_Ballinger_1995,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Eremias,multiocellata,,41.1,ctmax,,,N,,,,,,,28,0.25,41.45,106.98,1651,Li_et_al_2009,1,,9,ctmin,,,N,,,,,,,,28,0.25,41.45,106.98,1651,Li_et_al_2009,1,Chordata,Lepidosauria,Squamata,Lacertidae,
Urosaurus,ornatus,14,43.1,ctmax,0.25,SE,N,,,,,,,F,0.017,31.87,-111.46,948,Lowe_&_Vance_1955,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Thamnophis,radix,5,41,LT100,,,N,,,,,,,,,41.55,-101.15,1008,Lueth_1941,3,5,4.6,ctmin,,,N,,,,,,,,,,45.41,-97.9,451,Doughty_1994,1,Chordata,Lepidosauria,Squamata,Colubridae,
Eremias,argus,16,44.9,ctmax,,,Y,,,,,,,28,0.175,35.59,112.25,802,Luo_et_al_2006,1,21,1,ctmin,,,N,,,,,,,,28,0.175,35.59,112.25,802,Luo_et_al_2006,1,Chordata,Lepidosauria,Squamata,Lacertidae,
Xantusia,henshawi,,34.9,ctmax,1.4,SD,N,,,,,,,,,33.04,-116.87,456,Mautz_&_Case_1974,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Xantusiidae,
Xantusia,riversiana,11,39,ctmax,0.4,SE,N,,,,,,,,1.5,33.01,-118.56,119,Mautz_et_al_1992,1,12,6.6,ctmin,0.4,SE,N,,,,,,,,,1,33.01,-118.56,12,Mautz_et_al_1992,1,Chordata,Lepidosauria,Squamata,Xantusiidae,
Pseudocordylus,melanotus,,,,,,,,,,,,,0,,-26.47,28.23,1500,McConnachie_et_al_2007,1,16,10.2,ctmin,0.48,SE,N,,,,,,,,21,1,-26.47,28.23,1500,McConnachie_et_al_2007,1,Chordata,Lepidosauria,Squamata,Cordylidae,
Ctenophorus,maculosus,,48.9,ctmax,,,N,,,,,,,,0.2,-28.38,135.33,1,Mitchell_1973,3,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Agamidae,
Sceloporus,graciosus,,43,ctmax,1,SD,N,,,,,,,,0.9,44.73,-110.7,2289,Mueller_1969,1,5,9.1,ctmin,1.5,SD,N,,,,,,,,,,44.73,-110.7,2289,Mueller_1969,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Petrosaurus,mearnsi,6,42.6,ctmax,0.3,SD,N,,,,,,,15,0.017,33.89,-116.68,454,Murrish_&_Vance_1968,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Phrynosomatidae,
Cnemidophorus,sexlineatus,10,51,ctmax,0.42,SE,N,,,,,,,25,1,33.96,-96.76,249,Paulissen_1988,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Teiidae,
Phrynosoma,cornutum,10,47.9,ctmax,,,N,,,,,,,30,1,32.28,-106.75,1208,Prieto_&_Whitford_1971,1,10,9.5,ctmin,,,N,,,,,,,,30,,32.28,-106.75,1208,Prieto_&_Whitford_1971,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Phrynosoma,douglassii,10,43.5,ctmax,,,N,,,,,,,30,1,33.6,-105.22,2125,Prieto_&_Whitford_1971,1,10,2.7,ctmin,,,N,,,,,,,,30,,33.6,-105.22,2125,Prieto_&_Whitford_1971,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Agkistrodon,contortrix,10,40.6,ctmax,0.45,SE,Y,,,,,,,,,35.33,-90.07,78,Sanders_&_Jacob_1981,1,10,6.9,ctmin,,,N,,,,,,,,,,35.33,-90.07,78,Sanders_&_Jacob_1981,1,Chordata,Lepidosauria,Squamata,Viperidae,
Cyrtodactylus,philippinicus,,34.6,ctmax,,,N,,,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,
Lipinia,pulchella,,35.1,ctmax,,,N,,,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Parvoscincus,decipiens,,32.9,ctmax,,,N,,,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Pinoyscincus,abdictus,,36.9,ctmax,,,N,,,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Pinoyscincus,jagori,,37,ctmax,,,N,,,,,,,22,0.5,14.09,121.49,1100,Scheffers_et_al_2014,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Scincidae,
Thamnophis,elegans,18,43.1,ctmax,0.25,SE,N,,,,,,,23,,40.8,-105.59,2600,Scott_et_al_1982,1,,2,ctmin,,,N,,,,,,,,,,40.56,-120.78,1556,Huey_et_al_1989ab,1,Chordata,Lepidosauria,Squamata,Colubridae,
Holbrookia,maculata,,46.5,ctmax,0.65,SE,N,,,,,,,23,0.067,34.1,-103.3,1280,Sena_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Iguanidae,
Amphibolurus,muricatus,2,42.3,ctmax,,,N,,,,,,,,,-30.52,151.65,1013,Spellerberg_1972a,2,2,3,ctmin,,,N,,,,,,,,,,-30.52,151.65,1013,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,
Austrelaps,superbus,1,41.2,ctmax,,,N,,,,,,,,,-38.3,146.2,259,Spellerberg_1972a,2,1,3,ctmin,,,N,,,,,,,,,,-38.3,146.2,259,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Elapidae,
Bassiana,duperreyi,,43.5,ctmax,,,N,,,,,,,,,-35.4,148.73,784,Spellerberg_1972a,1,,3,ctmin,,,N,,,,,,,,,,-35.4,148.73,784,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Ctenophorus,decresii,,43.8,ctmax,,,N,,,,,,,,,-34.9,146.2,326,Spellerberg_1972a,2,,7,ctmin,,,N,,,,,,,,,,-34.9,138.87,326,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,
Egernia,cunninghami,1,41.9,ctmax,,,N,,,,,,,,,-33.88,151.2,399,Spellerberg_1972a,2,1,4.7,ctmin,,,N,,,,,,,,,,-33.88,151.2,399,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Egernia,inornata,1,41.6,ctmax,,,N,,,,,,,,,-28.13,123.92,402,Spellerberg_1972a,2,1,9.8,ctmin,,,N,,,,,,,,,,-28.13,123.92,402,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Egernia,saxatilis,4,41.8,ctmax,,,N,,,,,,,,,-37.33,148.01,548,Spellerberg_1972a,2,4,4.5,ctmin,,,N,,,,,,,,,,-37.33,148.01,548,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Egernia,whitii,2,41.2,ctmax,,,N,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,2,2,4,ctmin,,,N,,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Eulamprus,heatwolei,,39.5,ctmax,,,N,,,,,,,,,-34.05,149.83,1208,Spellerberg_1972a,2,,5.3,ctmin,,,N,,,,,,,,,,-34.05,149.83,1208,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Eulamprus,kosciuskoi,,40.2,ctmax,,,N,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,1,,2.5,ctmin,,,N,,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,1,Chordata,Lepidosauria,Squamata,Scincidae,
Gehyra,variegata,1,43.8,ctmax,,,N,,,,,,,,,-27.5,140.5,45,Spellerberg_1972a,2,1,6,ctmin,,,N,,,,,,,,,,-27.5,140.5,45,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Gekkonidae,
Hemiergis,decresiensis,,39.3,ctmax,,,N,,,,,,,,,-35.87,147.85,575,Spellerberg_1972a,2,,6.8,ctmin,,,N,,,,,,,,,,-35.87,147.85,575,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Heteronotia,binoei,1,40.6,ctmax,,,N,,,,,,,,,-22.82,133.38,657,Spellerberg_1972a,2,1,9.6,ctmin,,,N,,,,,,,,,,-22.82,133.38,657,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Gekkonidae,
Lampropholis,delicata,,40.8,ctmax,,,N,,,,,,,,,-33.37,151.26,180,Spellerberg_1972a,2,,4.7,ctmin,,,N,,,,,,,,,,-33.37,151.26,180,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Lampropholis,guichenoti,,41.3,ctmax,,,N,,,,,,,,,-33.73,151.13,180,Spellerberg_1972a,2,,2.5,ctmin,,,N,,,,,,,,,,-33.73,151.13,180,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Lophognathus,gilberti,,41.8,ctmax,,,N,,,,,,,,,-16.85,130.23,254,Spellerberg_1972a,2,,2.7,ctmin,,,N,,,,,,,,,,-16.85,130.23,254,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,
Moloch,horridus,1,42.5,ctmax,,,N,,,,,,,,,-28.13,123.92,489,Spellerberg_1972a,2,1,3.5,ctmin,,,N,,,,,,,,,,-28.13,123.92,489,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,
Nannoscincus,maccoyi,,37,ctmax,,,N,,,,,,,,,-37.81,145.23,125,Spellerberg_1972a,2,,4,ctmin,,,N,,,,,,,,,,-37.81,145.23,125,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Niveoscincus,metallicus,,39.6,ctmax,,,N,,,,,,,,,-41.82,147.37,198,Spellerberg_1972a,2,,2.7,ctmin,,,N,,,,,,,,,,-41.82,147.37,198,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Niveoscincus,ocellatus,,40.1,ctmax,,,N,,,,,,,,,-42.58,147.87,81,Spellerberg_1972a,2,,3,ctmin,,,N,,,,,,,,,,-42.58,147.87,81,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Notechis,scutatus,1,38,ctmax,,,N,,,,,,,,,-36.2,150.1,17,Spellerberg_1972a,2,1,2.2,ctmin,,,N,,,,,,,,,,-36.2,150.1,17,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Elapidae,
Pseudemoia,entrecasteauxii,,42.1,ctmax,,,N,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,2,,2.5,ctmin,,,N,,,,,,,,,,-36.4,148.41,1752,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Pseudemoia,spenceri,,42.3,ctmax,,,N,,,,,,,,,-37.8,146.3,1279,Spellerberg_1972a,2,,2.3,ctmin,,,N,,,,,,,,,,-37.8,146.3,1279,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Pseudonaja,textilis,2,42.4,ctmax,,,N,,,,,,,,,-30.22,145.79,107,Spellerberg_1972a,2,2,3.5,ctmin,,,N,,,,,,,,,,-30.22,145.79,107,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Elapidae,
Rankinia,diemensis,,44.8,ctmax,,,N,,,,,,,,,-35.4,148.75,656,Spellerberg_1972a,2,,3.1,ctmin,,,N,,,,,,,,,,-35.4,148.75,656,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Agamidae,
Saproscincus,mustelina,,37.7,ctmax,,,N,,,,,,,,,-36.8,147.6,889,Spellerberg_1972a,2,,6.2,ctmin,,,N,,,,,,,,,,-36.8,147.6,889,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Suta,flagellum,3,40,ctmax,,,N,,,,,,,,,-37.3,150,431,Spellerberg_1972a,2,3,3,ctmin,,,N,,,,,,,,,,-37.3,145.1,431,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Elapidae,
Tiliqua,nigrolutea,3,42.5,ctmax,,,N,,,,,,,,,-38.6,145.7,44,Spellerberg_1972a,2,3,5.2,ctmin,,,N,,,,,,,,,,-38.6,145.7,44,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Scincidae,
Varanus,varius,3,43.7,ctmax,,,N,,,,,,,,,-33.42,151.26,166,Spellerberg_1972a,2,3,5,ctmin,,,N,,,,,,,,,,-33.42,151.26,166,Spellerberg_1972a,2,Chordata,Lepidosauria,Squamata,Varanidae,
Eulamprus,quoyii,,39.8,ctmax,,,N,,,,,,,,,-30.51,151.67,977,Spellerberg_1972a,2,,6,ctmin,,,N,,,,,,,,,,-30.51,151.67,977,Spellerberg_1972b,2,Chordata,Lepidosauria,Squamata,Scincidae,
Eulamprus,tympanum,,39,ctmax,,,N,,,,,,,,,-37.4,145.2,743,Spellerberg_1972a,2,,2.5,ctmin,,,N,,,,,,,,,,-37.4,145.2,743,Spellerberg_1972b,2,Chordata,Lepidosauria,Squamata,Scincidae,
Trachylepis,striata,,44.5,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,15.7,ctmin,1.7,SD,N,,,,,,,,20,,-15.38,35.33,900,Patterson_1991,1,Chordata,Lepidosauria,Squamata,Scincidae,
Chondrodactylus,angulifer,,42.9,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,
Chondrodactylus,bibronii,,42.7,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,
Meroles,suborbitalis,,46,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Lacertidae,
Pedioplanis,lineoocellata,,45.6,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Lacertidae,
Ptenopus,garrulus,,43.4,ctmax,,,N,,,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,
Thamnophis,ordinoides,10,38.9,ctmax,,,N,,,,,,,,0.0167,44.56,-123.26,60,Stewart_1965,1,10,4.2,ctmin,,,N,,,,,,,,,,44.56,-123.26,60,Stewart_1965,1,Chordata,Lepidosauria,Squamata,Colubridae,
Thamnophis,sirtalis,10,38.9,ctmax,,,N,,,,,,,,0.0167,44.56,-123.26,60,Stewart_1965,1,10,4.2,ctmin,,,N,,,,,,,,,,44.56,-123.26,60,Stewart_1965,1,Chordata,Lepidosauria,Squamata,Colubridae,
Anolis,cupreus,19,38.4,ctmax,0.48,SE,N,,,,,,,,,10.63,-85.43,100,vanBerkum_1986,1,19,11.8,ctmin,0.46,SE,N,,,,,,,,,,10.63,-85.43,100,vanBerkum_1986,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,humilis,22,35.6,ctmax,0.21,SE,N,,,,,,,,,10.42,-84.02,50,vanBerkum_1986,1,22,12.4,ctmin,0.62,SE,N,,,,,,,,,,10.42,-84.02,50,vanBerkum_1986,1,Chordata,Lepidosauria,Squamata,Iguanidae,
Anolis,intermedius,8,38.4,ctmax,0.52,SE,N,,,,,,,,,10.3,-84.82,1450,vanBerkum_1986,1,8,11.1,ctmin,1.4,SE,N,,,,,,,,,,10.3,-84.82,1450,vanBerkum_1986,1,Chordata,Lepidosauria,Squamata,Iguanidae,
