Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_interval_after_LT0,Tmax_2,max_metric_2,error,error measure,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N,tmin,min_metric,error,error_type,Multiple measures_min,min_interval_after_LT0,N,tmin_2,min_metric_2,error,error_type,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ
Ellochelon,vaigiensis,7,44.5,ctmax,0.05,SD,Y,,,,,,,35,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,7,9.9,ctmin,,,Y,,,,,,,,20,0.31,-5.45,123.77,0,Eme_&_Bennett_2009,1,Chordata,Actinopteri,Mugiliformes,Mugilidae,
Gasterosteus,aculeatus,10,34.6,ctmax,,,N,,,,,,,22.7,0.25,34.4,-118.5,500,Feldmeth_&_Baskin_1976,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Gasterosteidae,
Cyprinodon,nevadensis_amargosae,20,42.5,ctmax,,,N,,,,,,,25,0.03,36,-117,1179,Feldmeth_et_al_1974,1,20,0.75,ctmin,,,N,,,,,,,,25,0.03,36,-117,1179,Feldmeth_et_al_1974,1,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,
Tautogolabrus,adspersus,,30,LT50,,,N,,,,,,,20,,42,-70,0,Haugaard_&_Irving_1943_in_Brett_1970,1,,0.6,LT50,,,N,,,,,,,,2,,42,-70,0,Haugaard_&_Irving_1943_in_Brett_1970,1,Chordata,Actinopteri,Perciformes,Labridae,
Oncorhynchus,clarkii,,29.9,ctmax,0.09,SE,N,,,,,,,20,0.4,48.8,-122.3,400,Heath_1963,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Cyprinodon,artifrons,11,43.7,ctmax,,,N,,,,,,,30,0.3,16.8,-88.1,5,Heath_et_al_1993,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,
Floridichthys,carpio,8,42.2,ctmax,,,N,,,,,,,30,0.3,16.8,-88.1,5,Heath_et_al_1993,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,
Gambusia,yucatana,7,42.2,ctmax,,,N,,,,,,,30,0.3,16.8,-88.1,5,Heath_et_al_1993,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,
Poecilia,sphenops,20,43,ctmax,,,Y,,,,,,,32,1,17.03,-96.5,1670,Hernandez_&_Buckle_2002,1,20,7.5,ctmin,,,Y,,,,,,,,20,1,17.03,-96.5,1670,Hernandez_&_Buckle_2002,1,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,
Notropis,pilsbryi,6,32.3,LT50,,,N,,,,,,,21.5,0.0013,36,-94,350,Hickman_&_Dewey_1973,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Cyprinella,spiloptera ,26,31.8,ctmax,1.8,SD,N,,,,,,,F,,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,25,4.5,ctmin,1,SD,N,,,,,,,,22,0.5,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Luxilus,chrysocephalus,8,30.8,ctmax,1.8,SD,N,,,,,,,F,,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,2,4.5,ctmin,0.7,SD,N,,,,,,,,22,0.5,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Pimephales,notatus,9,31.3,ctmax,1.1,SD,N,,,,,,,F,,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,5,6.4,ctmin,1.2,SD,N,,,,,,,,22,0.5,39.3,-84.6,191,Hockett_&_Mundahl_1989,1,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Menidia,menidia,,32.5,LT50,,,N,,,`,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,,1.5,LT50,,,N,,,,,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,
Pseudopleuronectes,americanus,,29.1,LT50,,,N,,,,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,,1,LT50,,,N,,,,,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,
Sphoeroides,maculatus,,32.5,LT50,,,N,,,,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,,7.6,LT50,,,N,,,,,,,,,,40,-74,0,Hoff&Westman1966_in_Brett_1970,1,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,
Cottus,bairdi,,30.9,ctmax,,,N,,,,,,,15,1,43,-78.5,250,Kowalski_et_al_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Cottidae,
Etheostoma,blennioides,,32.2,ctmax,,,N,,,,,,,15,1,43,-78.5,250,Kowalski_et_al_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Percidae,
Hypentelium,nigricans,,30.8,ctmax,,,N,,,,,,,15,1,43,-78.5,250,Kowalski_et_al_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Catostomidae,
Rhinichthys,atratulus,,31.9,ctmax,,,N,,,,,,,15,1,43,-78.5,250,Kowalski_et_al_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Rhinichthys,cataractae,,31.4,ctmax,,,N,,,,,,,15,1,43,-78.5,250,Kowalski_et_al_1978,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Oncorhynchus,apache,,29.4,ctmax,,,,,,,,,,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Oncorhynchus,gilae,,29.6,ctmax,,,,,,,,,,20,0.02,33.5,-108.5,2400,Lee_&_Rinne_1980,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Salmo,trutta,,29.8,ctmax,,,,,,,,,,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Salvelinus,fontinalis,,29.8,ctmax,,,,,,,,,,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Salmoniformes,Salmonidae,
Campostoma,anomalum,,29.8,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Cyprinella,lutrensis,,30.7,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Etheostoma,spectabile,,29.8,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Percidae,
Gambusia,affinis,,36.88,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,
Hybognathus,placitus,,28.37,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Hybopsis,amblops,,30.1,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Ictalurus,punctatus,,31.32,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Siluriformes,Ictaluridae,
Ictiobus,bubalus,,29.5,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Catostomidae,
Lepomis,gulosus,,28.98,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Lepomis,macrochirus,,30.38,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Lepomis,megalotis,,30.87,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Lepomis,microlophus,,30.8,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Menidia,beryllina,,29.24,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,
Micropterus,dolomieu,,28.3,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Micropterus,punctulatus,,30.76,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Micropterus,salmoides,,30.69,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Centrarchidae,
Notemigonus,crysoleucas,,29.13,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Notropis,atherinoides,,30.1,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Phenacobius,mirabilis,,30.45,ctmax,,,,,,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Dicentrarchus,labrax,19,33.3,ctmax,2.4,SD,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Moronidae,
Diplodus,sargus,25,33.8,ctmax,0.6,SD,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Spariformes,Sparidae,
Diplodus,vulgaris,19,31.1,ctmax,1.3,SD,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Spariformes,Sparidae,
Gobius,niger,18,34.1,ctmax,1.2,SD,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Gobiidae,
Liza,ramada,23,38,ctmax,0,SD,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Mugiliformes,Mugilidae,
Diplodus,bellottii,17,27.38,ctmax,,,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Spariformes,Sparidae,
Gobius,cobitis,4,33.7,ctmax,,,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Gobiidae,
Lipophrys,trigloides,9,33.8,ctmax,,,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Perciformes,Blenniidae,
Pegusa,lascaris,8,32.9,ctmax,,,N,,,,,,,24,0.017,38,-9,0,Madeira_et_al_2012,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Pleuronectiformes,Soleidae,
Notropis,girardi,,38.6,ctmax,0.32,SD,N,,,,,,,25,1,35.2,-97.5,330,Matthews_&_Maness_1979,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Gila,bicolor_mohavensis,5,34.9,ctmax,,,N,,,,,,,24,0.14,35.9,-117.7,700,McClanahan_et_al_1986,1,5,4.8,ctmin,,,N,,,,,,,,25,0.14,35.9,-117.7,700,McClanahan_et_al_1986,1,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Notropis,cummingsae,,29,ctmax,,,,,,,,,,8,1,33.5,-82,50,McFarlane_et_al_1976_in_Beitinger_et_al_2000,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Notropis,lutipinnis,,30,ctmax,,,,,,,,,,13,1,33.5,-82,50,McFarlane_et_al_1976_in_Beitinger_et_al_2000,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,
Gambusia,holbrooki,,39.8,ctmax,,,N,,,,,,,25,0.4,33.5,-81.7,475,Meffe_et_al_1995,1,,,,,,,,,,,,,,,,,,,,,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,
Apogon,dovii,,35.9,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,13.1,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Kurtiformes,Apogonidae,
Apogon,pacifici,,34.7,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,10.8,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Kurtiformes,Apogonidae,
Bathygobius,ramosus,,39.6,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,11.9,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Gobiidae,
Chromis,atrilobata,,35.2,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,11.2,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Pomacentridae,
Cirrhitichthys,oxycephalus,,35.8,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,11.4,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Cirrhitidae,
Coryphopterus,urospilus,,35.4,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,12.3,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Gobiidae,
Eucinostomus,gracilis,,38,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,12.4,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Gerreidae,
Haemulon,steindachneri,,37.2,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,13.2,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Haemulidae,
Halichoeres,dispilus,,35.8,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,15.6,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Labridae,
Lutjanus,guttatus,,37.4,ctmax,,,N,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,,12,ctmin,,,N,,,,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Lutjanidae,
