Genus,Species,Phylum,Class,Order,Family,Realm,Realm_detail,Realm_source,thermy,demers_pelag,demers_pelag_fb,demers_pelag_source,mobility,mobility_source,weight,weight_source,length,lengthType,length_source,fishbase_sci
Liolaemus,laurenti,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.38,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,melanops,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,31.8,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,multicolor,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,19.12,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,multimaculatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.02,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,olongasta,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.49,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,petrophilus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,33.42,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,poecilochromus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.08,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,pseudoanomalus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,quilmes,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,22.87,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,riojanus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.84,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,robertmertensi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.84,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,rothi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,37.29,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,salinicola,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.6,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,scapularis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.6,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,sp.1,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Liolaemus,telsen,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,13.46,Slavenko et al. 2016 database,NA,NA,NA,NA
Liolaemus,xanthoviridis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,34.04,Slavenko et al. 2016 database,NA,NA,NA,NA
Phrynosoma,cornutum,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,63.68,Slavenko et al. 2016 database,NA,NA,NA,NA
Phrynosoma,coronatum,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,44.81,Slavenko et al. 2016 database,NA,NA,NA,NA
Phrynosoma,douglassii,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,57.34,Slavenko et al. 2016 database,NA,NA,NA,NA
Phrynosoma,platyrhinos,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,27.5,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,antofagastensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,40.84,Slavenko et al. 2016 database,NA,NA,NA,Family is Liolaemidae in Slavenko
Phymaturus,dorsimaculatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,44.82,Slavenko et al. 2016 database,NA,NA,NA,Phymaturus vociferator
Phymaturus,indistinctus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,40.36,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,palluma,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,56.59,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,patagonicus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,53.75,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,somuncurensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,40.36,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,tenebrosus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,55.94,Slavenko et al. 2016 database,NA,NA,NA,NA
Phymaturus,zapalensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,48.99,Slavenko et al. 2016 database,NA,NA,NA,NA
Sauromalus,obesus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,512.6,Slavenko et al. 2016 database,NA,NA,NA,Sauromalus ater
Sceloporus,graciosus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,23.09,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,grammicus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,17.95,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,magister,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,80.66,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,malachiticus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,30.05,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,merriami,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.37,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,occidentalis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,29.08,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,undulatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,24.51,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,variabilis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,15.67,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Sceloporus,woodi,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.96,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Uma,inornata,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,56.12,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Urosaurus,auriculatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.09,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Urosaurus,clarionensis,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.96,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Urosaurus,ornatus,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.68,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Uta,stansburiana,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,15.67,Slavenko et al. 2016 database,NA,NA,NA,Family is Phrynosomatidae in Slavenko
Cryptopygus,cisantarcticus,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Isotoma,klovstadi,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Acanthodactylus,erythrurus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,13.66,Slavenko et al. 2016 database,NA,NA,NA,NA
Eremias,argus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.2,Slavenko et al. 2016 database,NA,NA,NA,NA
Eremias,brenchleyi,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.65,Slavenko et al. 2016 database,NA,NA,NA,NA
Eremias,multiocellata,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.98,Slavenko et al. 2016 database,NA,NA,NA,NA
Lacerta,agilis,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10,Brose et al. dataset,NA,NA,NA,NA
Lacerta,monticola,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,13.95,Slavenko et al. 2016 database,NA,NA,NA,Iberolacerta monticola
Lacerta,schreiberi,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,55.41,Slavenko et al. 2016 database,NA,NA,NA,NA
Meroles,suborbitalis,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.32,Slavenko et al. 2016 database,NA,NA,NA,NA
Pedioplanis,lineoocellata,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.01,Slavenko et al. 2016 database,NA,NA,NA,NA
Podarcis,bocagei,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.98,Slavenko et al. 2016 database,NA,NA,NA,NA
Podarcis,hispanica,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,9.4,Slavenko et al. 2016 database,NA,NA,NA,Podarcis hispanicus
Podarcis,lilfordi,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.27,Slavenko et al. 2016 database,NA,NA,NA,NA
Podarcis,muralis,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.98,Slavenko et al. 2016 database,NA,NA,NA,NA
Podarcis,tiliguerta,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,15.15,Slavenko et al. 2016 database,NA,NA,NA,NA
Psammodromus,algirus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,18.45,Slavenko et al. 2016 database,NA,NA,NA,NA
Psammodromus,hispanicus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,4.13,Slavenko et al. 2016 database,NA,NA,NA,NA
Takydromus,formosanus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,6.12,Slavenko et al. 2016 database,NA,NA,NA,NA
Takydromus,hsuehshanensis,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,8.67,Slavenko et al. 2016 database,NA,NA,NA,NA
Takydromus,septentrionalis,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.83,Slavenko et al. 2016 database,NA,NA,NA,NA
Takydromus,sexlineatus,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,7.98,Slavenko et al. 2016 database,NA,NA,NA,NA
Takydromus,stejnegeri,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.58,Slavenko et al. 2016 database,NA,NA,NA,NA
Zootoca,vivipara,Chordata,Lepidosauria,Squamata,Lacertidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.57,Slavenko et al. 2016 database,NA,NA,NA,NA
Leptodactylus,melanotus,Chordata,Amphibia,Anura,Leptodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,5.8,body length,AmphiBIO,NA
Erthemis,simplicicollis,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Erythemis,credula,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Erythemis,plebeja,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Libellula,sp.1,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Miathyria,marcella,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Micrathyria,aequalis,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Micrathyria,eximia,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Micrathyria,ocellata,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Pachydiplax,longipennis,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Tauriphila,argo,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Tramea,carolina,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Tramea,cophysa,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Tramea,walkeri,Arthropoda,Insecta,Odonata,Libellulidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0793,mean from Brose et al. dataset,NA,NA,NA,NA
Oedothorax,apicatus,Arthropoda,Arachnida,Araneae,Linyphiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.000179,mean from Brose et al. dataset,NA,NA,NA,NA
Prinerigone,vagans,Arthropoda,Arachnida,Araneae,Linyphiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.000179,mean from Brose et al. dataset,NA,NA,NA,NA
Stemonyphantes,lineatus,Arthropoda,Arachnida,Araneae,Linyphiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.000179,mean from Brose et al. dataset,NA,NA,NA,NA
Agroeca,proxima,Arthropoda,Arachnida,Araneae,Liocranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000455,mean from Brose et al. dataset,NA,NA,NA,NA
Scotina,gracilipes,Arthropoda,Arachnida,Araneae,Liocranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.0000455,mean from Brose et al. dataset,NA,NA,NA,NA
Lycosa,sp.1,Arthropoda,Arachnida,Araneae,Lycosidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.00233,mean from Brose et al. dataset,NA,NA,NA,NA
Pardosa,nigriceps,Arthropoda,Arachnida,Araneae,Lycosidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.00233,mean from Brose et al. dataset,NA,NA,NA,NA
Macromia,taeniolata,Arthropoda,Insecta,Odonata,Macromiidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Cophixalis,ornatus,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,2.5,body length,AmphiBIO,Cophixalus ornatus
Cophixalus,aenigma,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,2.26,body length,AmphiBIO,NA
Cophixalus,bombiens,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.5,body length,AmphiBIO,NA
Cophixalus,exiguus,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.83,body length,AmphiBIO,NA
Cophixalus,hosmeri,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.5,body length,AmphiBIO,NA
Cophixalus,infacetus,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,1.8,body length,AmphiBIO,NA
Cophixalus,mcdonaldi,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,2.5,body length,AmphiBIO,NA
Cophixalus,neglectus,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,2.9,body length,AmphiBIO,NA
Kaloula,kalingensis,Chordata,Amphibia,Anura,Microhylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,3.93,body length,AmphiBIO,NA
Adelotus,brevis,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,5.42,AmphiBIO,4.5,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Crinia,darlingtoni,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.39,AmphiBIO,3,body length,AmphiBIO,Assa darlingtoni
Crinia,laevis,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.92,AmphiBIO,3.5,body length,AmphiBIO,Geocrinia laevis
Crinia,parainsignifera,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.66,AmphiBIO,2,body length,AmphiBIO,NA
Crinia,signifera,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.9,AmphiBIO,3.2,body length,AmphiBIO,NA
Crinia,victoriana,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.57,AmphiBIO,3.5,body length,AmphiBIO,Geocrinia victoriana
Limnodynastes,Salmini,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,20.84,AmphiBIO,7.5,body length,AmphiBIO,Limnodynastes salmini; Family is Limnodynastidae in AmphiBIO
Limnodynastes,dorsalis,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,18.97,AmphiBIO,7.3,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Limnodynastes,fletcheri,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,11.34,AmphiBIO,5,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Limnodynastes,peroni,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.17,AmphiBIO,7.28,body length,AmphiBIO,Limnodynastes peronii; Family is Limnodynastidae in AmphiBIO
Limnodynastes,tasmaniensis,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,3.37,AmphiBIO,5.05,body length,AmphiBIO; Brose et al. dataset,NA
Myxophyes,fasciolatus,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,46.5,AmphiBIO,9.7,body length,AmphiBIO,NA
Neobatrachus,pictus,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,12.34,AmphiBIO,5,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Philoria,frosti,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,14.5,AmphiBIO,5.24,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Philoria,loveridgei,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.45,AmphiBIO,3,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Philoria,sphagnicola,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,2.12,AmphiBIO,3.7,body length,AmphiBIO,Family is Limnodynastidae in AmphiBIO
Pseudophryne,bibroni,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.19,AmphiBIO,3.6,body length,AmphiBIO,NA
Pseudophryne,corroboree,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.94,AmphiBIO,3,body length,AmphiBIO,NA
Pseudophryne,dendyi,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,1.1,AmphiBIO,3.5,body length,AmphiBIO,NA
Friesea,grisea,Arthropoda,Collembola,Poduromorpha,Neanuridae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Spea,hammondii,Chordata,Amphibia,Anura,Pelobatidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,6.1,body length,AmphiBIO,Family is Scaphiopodidae in AmphiBIO
Spea,holbrooki,Chordata,Amphibia,Anura,Pelobatidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,7.1,body length,AmphiBIO,Scaphiopus holbrookii; Family is Scaphiopodidae in AmphiBIO
Philodromus,aureolus,Arthropoda,Arachnida,Araneae,Philodromidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.000122,mean from Brose et al. dataset,NA,NA,NA,NA
Petrosaurus,mearnsi,Chordata,Lepidosauria,Squamata,Phrynosomatidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,141.13,Slavenko et al. 2016 database,NA,NA,NA,NA
Tarentola,boettgeri,Chordata,Lepidosauria,Squamata,Phyllodactylidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.75,Slavenko et al. 2016 database,NA,NA,NA,NA
Desmognathus,fuscus,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,10.5,body length,AmphiBIO,NA
Desmognathus,ochrophaeus,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,0.6,AmphiBIO,9.05,body length,AmphiBIO,NA
Desmognathus,quadramaculatus,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,28.7,AmphiBIO,21,body length,AmphiBIO,NA
Eurycea,bislineata,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,12.3,body length,AmphiBIO,NA
Eurycea,longicauda,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,20,body length,AmphiBIO,NA
Eurycea,lucifuga,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,18.1,body length,AmphiBIO,NA
Eurycea,multiplicata,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,16,body length,AmphiBIO,NA
Eurycea,nana,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,5.1,body length,AmphiBIO,NA
Plethodon,glutinosus,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,65,AmphiBIO,20.6,body length,AmphiBIO,NA
Pseudotriton,ruber,Chordata,Amphibia,Caudata,Plethodontidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,18.1,body length,AmphiBIO,NA
Hylarana,erythraea,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,7.5,body length,AmphiBIO,NA
Hylarana,luzonensis,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA
Lithobates,sylvatica,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,17.6,AmphiBIO,8.3,body length,AmphiBIO,Lithobates sylvaticus
Rana,boyleri,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,22,AmphiBIO,7.3,body length,AmphiBIO,Rana boylii
Rana,cascadae,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,10.1,AmphiBIO,7.5,body length,AmphiBIO,NA
Rana,catesbeiana,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,467.8,AmphiBIO,20.3,body length,AmphiBIO,Lithobates catesbeiana
Rana,clamitans,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,47.9,AmphiBIO,8.7,body length,AmphiBIO,Lithobates clamitans
Rana,palmipes,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,101,AmphiBIO,12.6,body length,AmphiBIO,Lithobates palmipes
Rana,palustris,Chordata,Amphibia,Anura,Ranidae,Terrestrial,,,ectotherm,NA,NA,NA,NA,,NA,NA,8.7,body length,AmphiBIO,Lithobates palustris
