Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat,lon,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,habitat,citation,citation_details_or_paper_in_which_data_were_compiled,notes.2017
Rana,boyleri,crit,30,NA,,,34,39.72,-122.81,,914.4,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Metacarcinus,magister,leth,17.5,15,lab,,33.5,48.68,-122.5,,0,Arthropoda,Malacostraca,Decapoda,Cancridae,marine,Prentice_and_Schneider_1979,Comparative_Biochemical_Physiology_63A_591-597,added acclimation
Thamnophis,ordinoides,crit,32,NA,,,38.3,45.5,-122.5,,200,Chordata,Reptilia,Squamata,Colubridae,terrestrial,Stewart_1965,Sunday_et_al_PNAS_2014,
Thamnophis,sirtalis_concinnus,crit,32,NA,,,39.2,45.5,-122.5,,200,Chordata,Reptilia,Squamata,Colubridae,terrestrial,Stewart_1965,Sunday_et_al_PNAS_2014,
Rana,pretiosa,crit,30,NA,,,34.8,51,-121.5,,609.6,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Sceloporus,occidentalis,crit,NA,NA,,,44.1,45.75,-121.2,,300,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Girella,nigricans,leth,28,NA,,,31.4,34,-120.8,,0,Chordata,Actinopterygii,Perciformes,Kyphosidae,marine,Doudoroff_1942_in_Brett_1970,Sunday_et_al_PRSB_2011,acclimation not given
Rana,cascadae,crit,30,NA,,,33.6,40,-120.8,,2133.6,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Takydromus,septentrionalis,crit,35,NA,,,44.5,28.47,119.92,,0,Chordata,Reptilia,Squamata,Lacertidae,terrestrial,Yang_et_al_2009,Sunday_et_al_PRSB_2011,
Plestiodon,gilberti,crit,20,NA,,,42.3,37,-119.7,,600,Chordata,Reptilia,Squamata,Scincidae,terrestrial,Youssef_et_al_2008,Sunday_et_al_PRSB_2011,
Bufo,canorus,crit,30,NA,,,38,38,-119.3,,2743.2,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Elgaria,multicarinatus_webbi,crit,21.4,NA,,,41.4,34.3,-119.23,,NA,Chordata,Reptilia,Squamata,Anguidae,terrestrial,Cunningham_1966,Sunday_et_al_PRSB_2011,
Chrysomela,aeneicollis,crit,25,NA,,,39,37.18,-118.28,,3200,Arthropoda,Insecta,Coleoptera,Chrysomelidae,terrestrial,Neargarder_2003,Sunday_et_al_PNAS_2014,
Bufo,exsul,crit,30,NA,,,37.1,38,-118,,1524,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Xantusia,riversiana,crit,28,NA,,,39,32.90778,-118.497394,,250,Chordata,Reptilia,Squamata,Xantusiidae,terrestrial,Mautz_et_al._1992,Sunday_et_al_PRSB_2011,
Pseudacris,regilla,crit,30,NA,,,36.6,34,-117.7,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Atherinops,affinis,leth,20,28,,,31.7,33,-117.5,,0,Chordata,Actinopterygii,Atheriniformes,Atherinidae,marine,Doudoroff_1945_in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation
Fundulus,parvipinnis,leth,28,60,,,36.5,33,-117.5,,0,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,marine,Doudoroff_1945_in_Brett_1970,Sunday_et_al_PRSB_2011,added acclimation
Sceloporus,graciosus,crit,NA,NA,,,44.7,33.91666667,-117.4,,230,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Xantusia,vigilis,crit,NA,NA,,,41.6,33.91666667,-117.4,,50,Chordata,Reptilia,Squamata,Xantusiidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Ambystoma,macrodactylum,crit,20,NA,,,34.4,45.5,-117.22,,2470,Chordata,Amphibia,Caudata,Ambystomatidae,terrestrial,Howard_1983,Sunday_et_al_PNAS_2014,
Bufo,boreas,crit,30,NA,,,36.5,34.12,-116.82,,2743.2,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Hyla,regilla,crit,30,NA,,,37.7,34.12,-116.82,,2743.2,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Bufo,nelsoni,crit,30,NA,,,36.2,36.91,-116.76,,1524,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Taricha,torosa,leth,30,NA,,,38,32.97,-116.74,,146,Chordata,Amphibia,Caudata,Salamandridae,terrestrial,McFarland_1955,Sunday_et_al_PNAS_2014,
Pseudacris,cadaverina,crit,30,NA,,,36.8,34,-116.7,,609.6,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Cnemidophorus,tigris,crit,NA,NA,,,45.1,43,-116.2,,300,Chordata,Reptilia,Squamata,Teiidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Dipsosaurus,dorsalis,crit,38,NA,,,47.5,33.8,-115.5,,NA,Chordata,Reptilia,Squamata,Iguania,terrestrial,Bennett_1980,Sunday_et_al_PRSB_2011,
Pogonomyrmex,californicus,crit,40,NA,,,51.78,36.17,-115.14,,620,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Lighton_Turner_2004,Sunday_et_al_PNAS_2014,
Pogonomyrmex,rugosus,crit,40,NA,,,51.59,36.17,-115.14,,620,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Lighton_Turner_2004,Sunday_et_al_PNAS_2014,
Bufo,alvarius,crit,30,NA,,,39.9,31,-112,,304.8,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Bufo,cognatus,crit,30,NA,,,41.3,31,-112,,304.8,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Leptodactylus,melanotus,crit,30,NA,,,39.8,30,-110.7,,304.8,Chordata,Amphibia,Anura,Leptodactylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Spea,hammondi,crit,30,NA,,,40.3,30,-110.3,,304.8,Chordata,Amphibia,Anura,Scaphiopodidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Bufo,debilis,crit,30,NA,,,40.1,27,-109.7,,304.8,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Bufo,mazatlanensis,crit,30,NA,,,39.9,27,-109.7,,304.8,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Pternohyla,fodiens,crit,30,NA,,,39.5,28,-109.7,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Urosaurus,ornatus,crit,30,NA,,,43.3,31.86,-109.15,,1690,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,Smith_1994,Sunday_et_al_PNAS_2014,
Taeniopoda,eques,crit,30,NA,,,45.2,31.91,-109.14,,1450,Arthropoda,Insecta,Orthoptera,Romaleidae,terrestrial,Whitman_1987,Sunday_et_al_PNAS_2014,
Myrmecocystus,depilis,crit,24,NA,,,47.4,36.68,-108.31,,1191,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Kay_1978,Sunday_et_al_PNAS_2014,
Myrmecocystus,mexican,crit,24,NA,,,44.2,36.68,-108.31,,1191,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Kay_1978,Sunday_et_al_PNAS_2014,
Myrmecocystus,mimicu,crit,24,NA,,,47.7,36.68,-108.31,,1191,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Kay_1978,Sunday_et_al_PNAS_2014,
Myrmecocystus,romainei,crit,24,NA,,,46.1,36.68,-108.31,,1191,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Kay_1978,Sunday_et_al_PNAS_2014,
Pachymedusa,dacnicolor,crit,8,NA,,,28.8,24,-106.9,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Smilisca,baudini,crit,30,NA,,,40.4,30,-106.9,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Formica,perpilosa,crit,25,NA,,,45.2,35.65,-106.77,,1500,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Schumacher_1974,Sunday_et_al_PNAS_2014,
Trachymyrmex,smithi_neomexicanus,crit,25,NA,,,36.7,35.65,-106.77,,1000,Arthropoda,Insecta,Hymenoptera,Formicidae,terrestrial,Schumacher_1974,Sunday_et_al_PNAS_2014,
Phrynosoma,cornutum,crit,30,NA,,,47.91,32.27,-106.75,,1100,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,Prieto_1971,Sunday_et_al_PNAS_2014,
Pseudacris,triseriata,crit,20,NA,,,38.1,40.6,-105.83,,3040,Chordata,Amphibia,Anura,Hylidae,terrestrial,Miller_1974,Sunday_et_al_PNAS_2014,
Phrynosoma,douglassii,crit,30,NA,,,43.5,32.87,-105.81,,2600,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,Prieto_1971,Sunday_et_al_PNAS_2014,
Uta,stansburiana,crit,25,NA,,,43.7,40.56,-105.59,,1658,Chordata,Reptilia,Squamata,Iguania,terrestrial,Waldschmidt_1983,Sunday_et_al_PRSB_2011,
Phyllomedusa,dacnicolor,crit,5,NA,,,28.8,20.758,-105.28,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Tlalocohyla,smithi,crit,30,NA,,,42.5,22,-104.8,,304.8,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Sceloporus,merriami,crit,NA,NA,,,41.5,29.2,-103,,NA,Chordata,Reptilia,Squamata,Iguania,terrestrial,Huey_unpubl._data,Sunday_et_al_PRSB_2011,This entry is from the supplementary data table in Huey et al. 2009; acclimation temp is not provided.
